Formula,gfa,composition,Weight Fraction,Atomic Fraction,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant p electrons,Interant d electrons,Interant f electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model,H fraction,He fraction,Li fraction,Be fraction,B fraction,C fraction,N fraction,O fraction,F fraction,Ne fraction,Na fraction,Mg fraction,Al fraction,Si fraction,P fraction,S fraction,Cl fraction,Ar fraction,K fraction,Ca fraction,Sc fraction,Ti fraction,V fraction,Cr fraction,Mn fraction,Fe fraction,Co fraction,Ni fraction,Cu fraction,Zn fraction,Ga fraction,Ge fraction,As fraction,Se fraction,Br fraction,Kr fraction,Rb fraction,Sr fraction,Y fraction,Zr fraction,Nb fraction,Mo fraction,Tc fraction,Ru fraction,Rh fraction,Pd fraction,Ag fraction,Cd fraction,In fraction,Sn fraction,Sb fraction,Te fraction,I fraction,Xe fraction,Cs fraction,Ba fraction,La fraction,Ce fraction,Pr fraction,Nd fraction,Pm fraction,Sm fraction,Eu fraction,Gd fraction,Tb fraction,Dy fraction,Ho fraction,Er fraction,Tm fraction,Yb fraction,Lu fraction,Hf fraction,Ta fraction,W fraction,Re fraction,Os fraction,Ir fraction,Pt fraction,Au fraction,Hg fraction,Tl fraction,Pb fraction,Bi fraction,Po fraction,At fraction,Rn fraction,Fr fraction,Ra fraction,Ac fraction,Th fraction,Pa fraction,U fraction,Np fraction,Pu fraction,Am fraction,Cm fraction,Bk fraction,Cf fraction,Es fraction,Fm fraction,Md fraction,No fraction,Lr fraction,mean AtomicWeight,mean Column,mean Row,range Number,mean Number,range AtomicRadius,mean AtomicRadius,range Electronegativity,mean Electronegativity,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,dist from 3 clusters |APE| < 0.010,dist from 5 clusters |APE| < 0.010
Ag20Ce6Cu74,0,Ag20 Ce6 Cu74,Ag0.28016026047261566 Ce0.10917471986103697 Cu0.6106650196663473 ,Ag0.2Ce0.06Cu0.74,0.107558611,1.958713307,-0.028456893,5.6064,1.261119411,-0.005932122,77.00464,7700.464,-0.512766574,0.068721162,0.085228,10.52,3.9856,3.4318,4,2,0,1,1,39.8444,0.241192856,4.111504,-0.037833874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.00464,10.52,4.32,29,34.34,0.5,1.43,0.81,1.8592,1.06,0,9.46,0.06,0.100189036,0,0.894139887,0.005671078,-0.028456893,0.028456893,0.056568542,0.066049181,0.074364362
Ag20Ce10Cu70,0,Ag20 Ce10 Cu70,Ag0.26944335924815377 Ce0.17499747712678212 Cu0.5555591636250641 ,Ag0.2Ce0.1Cu0.7,0.126770919,1.214578265,0.023774859,7.2,1.259496888,-0.006666319,80.06744,8006.744,-0.414807734,0.087475103,0.1263,10.2,7.16,3.465,4,2,0,1,1,38.518,0.285058806,4.962,-0.052139028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.06744,10.2,4.4,29,35.5,0.5,1.45,0.81,1.828,1.1,0,9.1,0.1,0.106796117,0,0.883495146,0.009708738,0.023774859,0.027720345,0,0.03928371,0.051979467
Ag25Ce6Cu69,0,Ag25 Ce6 Cu69,Ag0.3404038714604444 Ce0.10612068176582526 Cu0.5534754467737304 ,Ag0.25Ce0.06Cu0.69,0.10758037,2.155371153,-0.019426595,5.9934,1.2604645,-0.006413521,79.22075,7922.075,-0.554153961,0.068612777,0.087378,10.52,3.8976,3.4048,4,2,0,1,1,39.0204,0.251810801,4.465824,-0.040080434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.22075,10.52,4.37,29,35.24,0.5,1.4425,0.81,1.8607,1.06,0,9.46,0.06,0.100189036,0,0.894139887,0.005671078,-0.019426595,0.032636338,0.056568542,0.062061119,0.072561767
Ag30Ce6Cu64,0,Ag30 Ce6 Cu64,Ag0.39736870994289325 Ce0.10323286040252537 Cu0.4993984296545815 ,Ag0.3Ce0.06Cu0.64,0.10718141,2.296487046,0.027485522,6.2904,1.259813631,-0.006781067,81.43686,8143.686,-0.59028137,0.068484284,0.089028,10.52,3.8496,3.3778,4,2,0,1,1,38.1964,0.260988568,4.737744,-0.041869257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.43686,10.52,4.42,29,36.14,0.5,1.455,0.81,1.8622,1.06,0,9.46,0.06,0.100189036,0,0.894139887,0.005671078,0.027485522,0.029454577,0.014142136,0.047918983,0.070576756
Ag30Ce10Cu60,0,Ag30 Ce10 Cu60,Ag0.38296556459517117 Ce0.16581841867766095 Cu0.4512160167271678 ,Ag0.3Ce0.1Cu0.6,0.12425922,1.339896112,0.013850746,7.74,1.258210988,-0.007465521,84.49966,8449.966,-0.483507105,0.087045352,0.1293,10.2,7.2,3.411,4,2,0,1,1,36.87,0.301055425,5.4564,-0.05557495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.49966,10.2,4.5,29,37.3,0.5,1.475,0.81,1.831,1.1,0,9.1,0.1,0.106796117,0,0.883495146,0.009708738,0.013850746,0.013850746,0.047140452,0.062853936,0.069663477
Ag35Ce4Cu61,0,Ag35 Ce4 Cu61,Ag0.45973146884551763 Ce0.06824808634321043 Cu0.4720204448112718 ,Ag0.35Ce0.04Cu0.61,0.09573765,4.275706431,0.029339547,5.7414,1.259972361,-0.00663219,82.12157,8212.157,-0.723588159,0.05643212,0.068718,10.68,2.0216,3.3342,4,2,0,1,1,38.0356,0.247625248,4.561104,-0.035820169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.12157,10.68,4.43,29,36.46,0.5,1.4575,0.81,1.8793,1.04,0,9.64,0.04,0.097014925,0,0.899253731,0.003731343,0.029339547,0.030519505,0.014142136,0.052563207,0.075262713
Ag35Ce5Cu60,0,Ag35 Ce5 Cu60,Ag0.45548453942324313 Ce0.08452202612053697 Cu0.4599934344562198 ,Ag0.35Ce0.05Cu0.6,0.10132529,3.029225775,0.024782261,6.125,1.259568791,-0.006848406,82.88727,8288.727,-0.667042916,0.062700675,0.079575,10.6,2.94,3.3425,4,2,0,1,1,37.704,0.25835913,4.7475,-0.039571303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.88727,10.6,4.45,29,36.75,0.5,1.4625,0.81,1.8715,1.05,0,9.55,0.05,0.098591549,0,0.896713615,0.004694836,0.024782261,0.026679581,0,0.047140452,0.068851229
Ag35Ce6Cu59,0,Ag35 Ce6 Cu59,Ag0.45131535676497797 Ce0.100498045676083 Cu0.448186597558939 ,Ag0.35Ce0.06Cu0.59,0.106373844,2.380080979,0.022970264,6.4974,1.259166765,-0.007046495,83.65297,8365.297,-0.622735238,0.068335433,0.090178,10.52,3.8416,3.3508,4,2,0,1,1,37.3724,0.268713828,4.927264,-0.043196797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.65297,10.52,4.47,29,37.04,0.5,1.4675,0.81,1.8637,1.06,0,9.46,0.06,0.100189036,0,0.894139887,0.005671078,0.022970264,0.022970264,0.014142136,0.051604973,0.069002005
Ag40Ce3Cu57,0,Ag40 Ce3 Cu57,Ag0.5162888326924886 Ce0.05029771940308224 Cu0.43341344790442915 ,Ag0.4Ce0.03Cu0.57,0.089222649,8.135313255,0.026637366,5.5176,1.259727152,-0.006585692,83.57198,8357.198,-0.827277519,0.04921088,0.058557,10.76,1.0524,3.2989,4,2,0,1,1,37.5432,0.24421607,4.524636,-0.033100966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.57198,10.76,4.46,29,37.07,0.5,1.465,0.81,1.8886,1.03,0,9.73,0.03,0.095458758,0,0.90176089,0.002780352,0.026637366,0.027676198,0.028284271,0.04726097,0.079944047
Ag40Ce4Cu56,0,Ag40 Ce4 Cu56,Ag0.51160145737943 Ce0.06645475664021112 Cu0.421943785980359 ,Ag0.4Ce0.04Cu0.56,0.095106632,4.400406656,0.022077744,5.8944,1.259324521,-0.006817228,84.33768,8433.768,-0.753678654,0.056318192,0.069568,10.68,2.0096,3.3072,4,2,0,1,1,37.2116,0.254827471,4.701184,-0.036886222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.33768,10.68,4.48,29,37.36,0.5,1.47,0.81,1.8808,1.04,0,9.64,0.04,0.097014925,0,0.899253731,0.003731343,0.022077744,0.023800752,0.014142136,0.038887301,0.071251731
Ag40Ce5Cu55,0,Ag40 Ce5 Cu55,Ag0.5069984294395828 Ce0.08232105469841504 Cu0.41068051586200216 ,Ag0.4Ce0.05Cu0.55,0.100388519,3.082736182,0.019810891,6.26,1.258923428,-0.007026272,85.10338,8510.338,-0.697199141,0.062557408,0.080325,10.6,2.95,3.3155,4,2,0,1,1,36.88,0.265052018,4.8711,-0.040536393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.10338,10.6,4.5,29,37.65,0.5,1.475,0.81,1.873,1.05,0,9.55,0.05,0.098591549,0,0.896713615,0.004694836,0.019810891,0.019810891,0,0.031426968,0.06267331
Ag40Ce8Cu52,0,Ag40 Ce8 Cu52,Ag0.4936732612910136 Ce0.12825192722053702 Cu0.3780748114884495 ,Ag0.4Ce0.08Cu0.52,0.113468499,1.712828762,0.007517079,7.2896,1.257729289,-0.007554236,87.40048,8740.048,-0.586732229,0.078016693,0.111072,10.36,5.6704,3.3404,4,2,0,1,1,35.8852,0.293773989,5.341056,-0.050696391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.40048,10.36,4.56,29,38.52,0.5,1.49,0.81,1.8496,1.08,0,9.28,0.08,0.103448276,0,0.888888889,0.007662835,0.007517079,0.008608159,0.018856181,0.04873968,0.065719504
Ag40Ce10Cu50,0,Ag40 Ce10 Cu50,Ag0.4851722464430078 Ce0.15755429886335476 Cu0.3572734546936374 ,Ag0.4Ce0.1Cu0.5,0.120418342,1.356581199,-0.000681312,7.92,1.256940723,-0.007842999,88.93188,8893.188,-0.54087492,0.086545974,0.1303,10.2,7.4,3.357,4,2,0,1,1,35.222,0.311563504,5.6212,-0.056828967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.93188,10.2,4.6,29,39.1,0.5,1.5,0.81,1.834,1.1,0,9.1,0.1,0.106796117,0,0.883495146,0.009708738,-0.000681312,0.006926488,0.047140452,0.062951671,0.069330926
